Power,Diameter,Basecurve,SKU
-12.00,14.20,8.5,"1 Day ACUVUE MOIST 30"
-12.00,14.20,9.0,"1 Day ACUVUE MOIST 30"
-11.50,14.20,8.5,"1 Day ACUVUE MOIST 30"
-11.50,14.20,9.0,"1 Day ACUVUE MOIST 30"
-11.00,14.20,8.5,"1 Day ACUVUE MOIST 30"
-11.00,14.20,9.0,"1 Day ACUVUE MOIST 30"
-10.50,14.20,8.5,"1 Day ACUVUE MOIST 30"
-10.50,14.20,9.0,"1 Day ACUVUE MOIST 30"
-10.00,14.20,8.5,"1 Day ACUVUE MOIST 30"
-10.00,14.20,9.0,"1 Day ACUVUE MOIST 30"
-9.50,14.20,8.5,"1 Day ACUVUE MOIST 30"
-9.50,14.20,9.0,"1 Day ACUVUE MOIST 30"
-9.00,14.20,8.5,"1 Day ACUVUE MOIST 30"
-9.00,14.20,9.0,"1 Day ACUVUE MOIST 30"
-8.50,14.20,8.5,"1 Day ACUVUE MOIST 30"
-8.50,14.20,9.0,"1 Day ACUVUE MOIST 30"
-8.00,14.20,8.5,"1 Day ACUVUE MOIST 30"
-8.00,14.20,9.0,"1 Day ACUVUE MOIST 30"
-7.50,14.20,8.5,"1 Day ACUVUE MOIST 30"
-7.50,14.20,9.0,"1 Day ACUVUE MOIST 30"
-7.00,14.20,8.5,"1 Day ACUVUE MOIST 30"
-7.00,14.20,9.0,"1 Day ACUVUE MOIST 30"
-6.50,14.20,8.5,"1 Day ACUVUE MOIST 30"
-6.50,14.20,9.0,"1 Day ACUVUE MOIST 30"
-6.00,14.20,8.5,"1 Day ACUVUE MOIST 30"
-6.00,14.20,9.0,"1 Day ACUVUE MOIST 30"
-5.75,14.20,8.5,"1 Day ACUVUE MOIST 30"
-5.75,14.20,9.0,"1 Day ACUVUE MOIST 30"
-5.50,14.20,8.5,"1 Day ACUVUE MOIST 30"
-5.50,14.20,9.0,"1 Day ACUVUE MOIST 30"
-5.25,14.20,8.5,"1 Day ACUVUE MOIST 30"
-5.25,14.20,9.0,"1 Day ACUVUE MOIST 30"
-5.00,14.20,8.5,"1 Day ACUVUE MOIST 30"
-5.00,14.20,9.0,"1 Day ACUVUE MOIST 30"
-4.75,14.20,8.5,"1 Day ACUVUE MOIST 30"
-4.75,14.20,9.0,"1 Day ACUVUE MOIST 30"
-4.50,14.20,8.5,"1 Day ACUVUE MOIST 30"
-4.50,14.20,9.0,"1 Day ACUVUE MOIST 30"
-4.25,14.20,8.5,"1 Day ACUVUE MOIST 30"
-4.25,14.20,9.0,"1 Day ACUVUE MOIST 30"
-4.00,14.20,8.5,"1 Day ACUVUE MOIST 30"
-4.00,14.20,9.0,"1 Day ACUVUE MOIST 30"
-3.75,14.20,8.5,"1 Day ACUVUE MOIST 30"
-3.75,14.20,9.0,"1 Day ACUVUE MOIST 30"
-3.50,14.20,8.5,"1 Day ACUVUE MOIST 30"
-3.50,14.20,9.0,"1 Day ACUVUE MOIST 30"
-3.25,14.20,8.5,"1 Day ACUVUE MOIST 30"
-3.25,14.20,9.0,"1 Day ACUVUE MOIST 30"
-3.00,14.20,8.5,"1 Day ACUVUE MOIST 30"
-3.00,14.20,9.0,"1 Day ACUVUE MOIST 30"
-2.75,14.20,8.5,"1 Day ACUVUE MOIST 30"
-2.75,14.20,9.0,"1 Day ACUVUE MOIST 30"
-2.50,14.20,8.5,"1 Day ACUVUE MOIST 30"
-2.50,14.20,9.0,"1 Day ACUVUE MOIST 30"
-2.25,14.20,8.5,"1 Day ACUVUE MOIST 30"
-2.25,14.20,9.0,"1 Day ACUVUE MOIST 30"
-2.00,14.20,8.5,"1 Day ACUVUE MOIST 30"
-2.00,14.20,9.0,"1 Day ACUVUE MOIST 30"
-1.75,14.20,8.5,"1 Day ACUVUE MOIST 30"
-1.75,14.20,9.0,"1 Day ACUVUE MOIST 30"
-1.50,14.20,8.5,"1 Day ACUVUE MOIST 30"
-1.50,14.20,9.0,"1 Day ACUVUE MOIST 30"
-1.25,14.20,8.5,"1 Day ACUVUE MOIST 30"
-1.25,14.20,9.0,"1 Day ACUVUE MOIST 30"
-1.00,14.20,8.5,"1 Day ACUVUE MOIST 30"
-1.00,14.20,9.0,"1 Day ACUVUE MOIST 30"
-0.75,14.20,8.5,"1 Day ACUVUE MOIST 30"
-0.75,14.20,9.0,"1 Day ACUVUE MOIST 30"
-0.50,14.20,8.5,"1 Day ACUVUE MOIST 30"
-0.50,14.20,9.0,"1 Day ACUVUE MOIST 30"
+0.50,14.20,8.5,"1 Day ACUVUE MOIST 30"
+0.50,14.20,9.0,"1 Day ACUVUE MOIST 30"
+0.75,14.20,8.5,"1 Day ACUVUE MOIST 30"
+0.75,14.20,9.0,"1 Day ACUVUE MOIST 30"
+1.00,14.20,8.5,"1 Day ACUVUE MOIST 30"
+1.00,14.20,9.0,"1 Day ACUVUE MOIST 30"
+1.25,14.20,8.5,"1 Day ACUVUE MOIST 30"
+1.25,14.20,9.0,"1 Day ACUVUE MOIST 30"
+1.50,14.20,8.5,"1 Day ACUVUE MOIST 30"
+1.50,14.20,9.0,"1 Day ACUVUE MOIST 30"
+1.75,14.20,8.5,"1 Day ACUVUE MOIST 30"
+1.75,14.20,9.0,"1 Day ACUVUE MOIST 30"
+2.00,14.20,8.5,"1 Day ACUVUE MOIST 30"
+2.00,14.20,9.0,"1 Day ACUVUE MOIST 30"
+2.25,14.20,8.5,"1 Day ACUVUE MOIST 30"
+2.25,14.20,9.0,"1 Day ACUVUE MOIST 30"
+2.50,14.20,8.5,"1 Day ACUVUE MOIST 30"
+2.50,14.20,9.0,"1 Day ACUVUE MOIST 30"
+2.75,14.20,8.5,"1 Day ACUVUE MOIST 30"
+2.75,14.20,9.0,"1 Day ACUVUE MOIST 30"
+3.00,14.20,8.5,"1 Day ACUVUE MOIST 30"
+3.00,14.20,9.0,"1 Day ACUVUE MOIST 30"
+3.25,14.20,8.5,"1 Day ACUVUE MOIST 30"
+3.25,14.20,9.0,"1 Day ACUVUE MOIST 30"
+3.50,14.20,8.5,"1 Day ACUVUE MOIST 30"
+3.50,14.20,9.0,"1 Day ACUVUE MOIST 30"
+3.75,14.20,8.5,"1 Day ACUVUE MOIST 30"
+3.75,14.20,9.0,"1 Day ACUVUE MOIST 30"
+4.00,14.20,8.5,"1 Day ACUVUE MOIST 30"
+4.00,14.20,9.0,"1 Day ACUVUE MOIST 30"
+4.25,14.20,8.5,"1 Day ACUVUE MOIST 30"
+4.25,14.20,9.0,"1 Day ACUVUE MOIST 30"
+4.50,14.20,8.5,"1 Day ACUVUE MOIST 30"
+4.50,14.20,9.0,"1 Day ACUVUE MOIST 30"
+4.75,14.20,8.5,"1 Day ACUVUE MOIST 30"
+4.75,14.20,9.0,"1 Day ACUVUE MOIST 30"
+5.00,14.20,8.5,"1 Day ACUVUE MOIST 30"
+5.00,14.20,9.0,"1 Day ACUVUE MOIST 30"
+5.25,14.20,8.5,"1 Day ACUVUE MOIST 30"
+5.25,14.20,9.0,"1 Day ACUVUE MOIST 30"
+5.50,14.20,8.5,"1 Day ACUVUE MOIST 30"
+5.50,14.20,9.0,"1 Day ACUVUE MOIST 30"
+5.75,14.20,8.5,"1 Day ACUVUE MOIST 30"
+5.75,14.20,9.0,"1 Day ACUVUE MOIST 30"
+6.00,14.20,8.5,"1 Day ACUVUE MOIST 30"
+6.00,14.20,9.0,"1 Day ACUVUE MOIST 30"
